geometry,icon,id,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,vicinity
"{'location': {'lat': 41.4104799, 'lng': 2.174500000000001}, 'viewport': {'northeast': {'lat': 41.4118278802915, 'lng': 2.175809630291501}, 'southwest': {'lat': 41.4091299197085, 'lng': 2.173111669708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,e09510cf592882664140097365fbb4295798b085,Seoul Restaurant,{'open_now': True},"[{'height': 4640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106783530771214866250/photos"">Carolina Martínez</a>'], 'photo_reference': 'CmRaAAAAgk1kumBAmIWwzoNF7s-XSJEz8-yj0DikZRJfLPI8ipnpSlFSzsj1yvr4czBZeSrhnvgJsCjM-Z6Rw2CGeR8xp9LKT0pTf1ExdpxbTmr7nMr_xTg5Q5bD8cQrfLBYMwzJEhAl8Dtzd1dAPKuBnfxDezftGhSR2kI4IzMkMpYTIjweZSIbgRMW7A', 'width': 3480}]",ChIJa0M4VcWipBIRVRuMZOWyTmQ,"{'compound_code': 'C56F+5Q Barcelona, Spain', 'global_code': '8FH4C56F+5Q'}",2.0,4.4,ChIJa0M4VcWipBIRVRuMZOWyTmQ,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']","Avinguda de Gaudí, 70, Barcelona"
"{'location': {'lat': 41.4105624, 'lng': 2.174129600000001}, 'viewport': {'northeast': {'lat': 41.4119114302915, 'lng': 2.175551580291502}, 'southwest': {'lat': 41.4092134697085, 'lng': 2.172853619708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,9210b080cb5fd438706d12acb9ef83f7a2543ec8,Firo Tast Restaurant,{'open_now': True},"[{'height': 901, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106799442106732381042/photos"">Lydia Pastor Vidal</a>'], 'photo_reference': 'CmRaAAAApm5l2PrBKS47uyHzYhPdlxt591T74bCHRLwXJl733q0HjtrE4dWLRXOuExXAteOrJIUbyceKLVEQo2hXjreD1paX3djvf1KnXj1ba0dwKMDe4aa-T5fnYk7isGnPjrIHEhBBj3Rnc7jGlPdUr04OfNgyGhTmPSxKLjg6OPdyhh8iJVopZ9vWIg', 'width': 1600}]",ChIJZ_CcVsWipBIR833PHGaIK9I,"{'compound_code': 'C56F+6M Barcelona, Spain', 'global_code': '8FH4C56F+6M'}",2.0,4.0,ChIJZ_CcVsWipBIR833PHGaIK9I,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']","Avinguda de Gaudí, 83, Barcelona"
"{'location': {'lat': 41.409829, 'lng': 2.172821}, 'viewport': {'northeast': {'lat': 41.41123158029151, 'lng': 2.174097380291502}, 'southwest': {'lat': 41.40853361970851, 'lng': 2.171399419708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,cc9ae43f3b227a06bd92ba119d7e7b0538e8f0e5,Fukuya 8,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111704595082384285176/photos"">Nil Ferré</a>'], 'photo_reference': 'CmRaAAAARZnbz1s1uQlfVCyOHHIvZZd70AAnIg67Mv3gK0D9peIulnmuLwVHu3s6iDsygW8A6Ivbs-RuPLVQyQQWZpxeIIUZW3tRU1i1PiMzXy9idb-YWn5Fz2FqtLdK3S0MaqNYEhBZ2rJOmLr6UmwDp4MoacQnGhS7CYq1hKUJRKV8Tka50gMmB82FpQ', 'width': 3120}]",ChIJITtzcsWipBIRwtPTqAV21Kk,"{'compound_code': 'C55F+W4 Barcelona, Spain', 'global_code': '8FH4C55F+W4'}",,4.2,ChIJITtzcsWipBIRwtPTqAV21Kk,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']","Carrer de Sant Antoni Maria Claret, 186, Barcelona"
"{'location': {'lat': 41.410858, 'lng': 2.173924}, 'viewport': {'northeast': {'lat': 41.41219238029149, 'lng': 2.175292230291502}, 'southwest': {'lat': 41.40949441970849, 'lng': 2.172594269708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,007c1aa96637759aee46043882ae0de80120ea64,Estel de Sant Pau,{'open_now': True},"[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111403036019786004982/photos"">Estel de Sant Pau</a>'], 'photo_reference': 'CmRaAAAAPLtKlLsMV1BlHrdqy59WMWDxfWcnDrt0hwPXdw2AVKAyLCAPPhIHEmSWyW4Qhm8nKx71AqUKEM9gIcQWtQlQYIRpsgrKUGrxq7K0NkBEARaqM_ou4an-HQpvw3dTNNjDEhA2QoJc5UHLRBi3Fczl-iLHGhQfzRm-1Idn-72qwGoyfFPauLg9rg', 'width': 1024}]",ChIJHX7o-c-ipBIRkhnsJ_faiMc,"{'compound_code': 'C56F+8H Barcelona, Spain', 'global_code': '8FH4C56F+8H'}",,4.3,ChIJHX7o-c-ipBIRkhnsJ_faiMc,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']","Carrer de Sant Antoni Maria Claret, 157, Barcelona"
"{'location': {'lat': 41.4098061, 'lng': 2.1726886}, 'viewport': {'northeast': {'lat': 41.4111895302915, 'lng': 2.173990980291502}, 'southwest': {'lat': 41.4084915697085, 'lng': 2.171293019708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,1f9f4ab034d589029de1e869754093dbfc306bd5,NOU FACE,{'open_now': True},"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111680569655797032022/photos"">Nou Face</a>'], 'photo_reference': 'CmRaAAAAkQPndK2dxaHMIOeNKbT4Q70OuvZt8gSFi0Cz3G3AZw2hBN5GJORNL_A_Kl1-tcSJuMB4hGU9ophXH-emgZhvC_zFonJ_fbt3HTrebz-TISL6aitbzxIbCMyOHijaiGQuEhAkddNnn6x7viYRhRvQpjOGGhRWh-_r8CjN0fIiej30SYmkDTXo7g', 'width': 960}]",ChIJp23wbcWipBIRoaPXc77EBq4,"{'compound_code': 'C55F+W3 Barcelona, Spain', 'global_code': '8FH4C55F+W3'}",1.0,4.5,ChIJp23wbcWipBIRoaPXc77EBq4,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']","Carrer de Sant Antoni Maria Claret, 190, Barcelona"
"{'location': {'lat': 41.4107152, 'lng': 2.1741977}, 'viewport': {'northeast': {'lat': 41.41206418029149, 'lng': 2.175546680291502}, 'southwest': {'lat': 41.4093662197085, 'lng': 2.172848719708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,07da696dbe35c5bf4c92d4de86b5f4087f37d8b1,El Petit Firo,{'open_now': True},"[{'height': 3204, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100675118632959483080/photos"">Damián García - Mediaty</a>'], 'photo_reference': 'CmRaAAAAxIzOv_brFpbMMoNxghmuEMBrzlpJsEaaVMSvv2DkmztzVHi6RQPBXxe9TE3cXV7erFlA0jxuDPFg_sS53DSW28Th2VuKXoxCqQnZqPuf8e3QGzXCQm8ADzCQeRIIeTvVEhB_t-ssbpYZxuYknXNq3g9QGhRc2RdKbooFDW8qW8mijl3PUFRlbQ', 'width': 4928}]",ChIJxZBWUcWipBIR9K73ylT8zD0,"{'compound_code': 'C56F+7M Barcelona, Spain', 'global_code': '8FH4C56F+7M'}",2.0,3.9,ChIJxZBWUcWipBIR9K73ylT8zD0,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']","Avinguda Gaudí 81 bajo, Barcelona"
"{'location': {'lat': 41.4108674, 'lng': 2.174119799999999}, 'viewport': {'northeast': {'lat': 41.41221643029149, 'lng': 2.175546530291502}, 'southwest': {'lat': 41.40951846970849, 'lng': 2.172848569708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,a263b04e7b678d9fe6f6dd649dc4d1b26d8a2911,Green Kiss - Hospital Sant Pau,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109314969487609489003/photos"">Wesley Mahler</a>'], 'photo_reference': 'CmRaAAAAKa9xheOwRaSYGbpG9vR44yVsnxZFKsYCS5KgNQpCV_uFjSUqskKtsewViEPKgzkWIYZ4ECKGfLJKFViEkdyCsu4E7z9P7qGRs2OcRsSC8SDb0AKYzTnK7Bm43lcHdGotEhDgQbS5AsnS_ORxDUDfTPjfGhRzFOLoabnscMpodxZxMwU64xK2bA', 'width': 4032}]",ChIJpZur-M-ipBIRc9jq2T1ubCU,"{'compound_code': 'C56F+8J Barcelona, Spain', 'global_code': '8FH4C56F+8J'}",,4.2,ChIJpZur-M-ipBIRc9jq2T1ubCU,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']","Avinguda de Gaudí, 87, Barcelona"
"{'location': {'lat': 41.41064840000001, 'lng': 2.1744917}, 'viewport': {'northeast': {'lat': 41.4119964302915, 'lng': 2.175802080291501}, 'southwest': {'lat': 41.4092984697085, 'lng': 2.173104119708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,320d9dc1529ef4fcc29fd5761de7c2aee6211b84,Braseria Cal Ramon,{'open_now': True},"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101466162141654879378/photos"">Sara Pérez</a>'], 'photo_reference': 'CmRaAAAABxJK__DCN8_pNuyYdhidsyaCqD07KH5ocxPWi1Mu-T9JaIIgn8IJA5nRiTGbuQbGQ6eDg7kQgsD5U76XZI3hgF9PJznWYeawOM6gb_10TEzZQyezOVB5kMoRVb7MVLuhEhDtJNAPffOiZvUCFEqtIVIlGhTkFCf1MR-HR34C5dkLC0QKlRKE4w', 'width': 2048}]",ChIJDRMW_s-ipBIRCHZ5Zsx_xnk,"{'compound_code': 'C56F+7Q Barcelona, Spain', 'global_code': '8FH4C56F+7Q'}",2.0,3.7,ChIJDRMW_s-ipBIRCHZ5Zsx_xnk,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']","Avinguda de Gaudí, 74, Barcelona"
"{'location': {'lat': 41.4106118, 'lng': 2.1733825}, 'viewport': {'northeast': {'lat': 41.4119253802915, 'lng': 2.174778180291502}, 'southwest': {'lat': 41.4092274197085, 'lng': 2.172080219708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,0d53e9759f5fa7887814dcb43bd6b4d2bf39ab89,Entre Tapes Sant Pau,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117825001017888706623/photos"">Ramon Cleries I Robinat</a>'], 'photo_reference': 'CmRaAAAAdWU2oUZ1sK1uswIYBEVjzskdR82jGefIhNoPxm3xMc4Gy1HzCkzfEBYTVlo0n2FElfyIHWscavYPCWFXphoPsycQByVDSJMk2E-XR8A0uyt-SWeIvUK21sIYyvQGne9oEhDNj7tNr23qMQslqegPOdD_GhQmZQE2iVgPhIGSrfI5Y_ISX70uoA', 'width': 4032}]",ChIJRe9NXsWipBIRSYQYKfhdlXw,"{'compound_code': 'C56F+69 Barcelona, Spain', 'global_code': '8FH4C56F+69'}",,3.0,ChIJRe9NXsWipBIRSYQYKfhdlXw,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']","Carrer de Sant Antoni Maria Claret, 137, Barcelona"
"{'location': {'lat': 41.41084190000001, 'lng': 2.1736885}, 'viewport': {'northeast': {'lat': 41.41215468029151, 'lng': 2.175085230291502}, 'southwest': {'lat': 41.40945671970851, 'lng': 2.172387269708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,35edb541359aa4f9db98d02e0d9e949a68094c93,La Cantina del Pintxo - Barcelona,{'open_now': True},"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109277386489616796933/photos"">La Cantina del Pintxo - Barcelona</a>'], 'photo_reference': 'CmRaAAAAYZXJoeLobjrGq5toMTbABKq-yJukhSayVSOXUbYydq4su9hQLzb2-0w-Y27w3e9ECQkQ523TZaJ2jX3kBJaxq_D844WLIcqLm7bZISjyFIT07iXN-qORMNJKKHTJ7nQFEhAz9GhJv8CZu6Zzu9G3_DesGhQPcjCqUaaybVeQjA7ibhminVCG9g', 'width': 1600}]",ChIJQ-s59s-ipBIRO0Crk5YO52E,"{'compound_code': 'C56F+8F Barcelona, Spain', 'global_code': '8FH4C56F+8F'}",,2.9,ChIJQ-s59s-ipBIRO0Crk5YO52E,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']","Carrer de Sant Antoni Maria Claret, 149, Barcelona"
