,geometry,icon,id,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,vicinity
0,"{'location': {'lat': 41.4104799, 'lng': 2.174500000000001}, 'viewport': {'northeast': {'lat': 41.4118278802915, 'lng': 2.175809630291501}, 'southwest': {'lat': 41.4091299197085, 'lng': 2.173111669708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,e09510cf592882664140097365fbb4295798b085,Seoul Restaurant,{'open_now': False},"[{'height': 4640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106783530771214866250/photos"">Carolina Martínez</a>'], 'photo_reference': 'CmRaAAAA7-zI9jNJXf8OPBwN760OOVv_4f6BUSFwG_XLit1C8sAzSSfZRuoPRJ4b_2A2yPXAsDhnwgOvaLzOIvbOno1Lhuauue_ulMmy93OdKro_D0F8_u3mI6ecjV_J3kGn5O1EEhBOoOMizEzQuS8LgIlqWuuCGhTydoB29HWQ7ycG1u21fmTRgH2_wQ', 'width': 3480}]",ChIJa0M4VcWipBIRVRuMZOWyTmQ,"{'compound_code': 'C56F+5Q Barcelona, Spain', 'global_code': '8FH4C56F+5Q'}",2.0,4.4,ChIJa0M4VcWipBIRVRuMZOWyTmQ,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']","Avinguda de Gaudí, 70, Barcelona"
1,"{'location': {'lat': 41.4105624, 'lng': 2.174129600000001}, 'viewport': {'northeast': {'lat': 41.4119114302915, 'lng': 2.175551580291502}, 'southwest': {'lat': 41.4092134697085, 'lng': 2.172853619708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,9210b080cb5fd438706d12acb9ef83f7a2543ec8,Firo Tast Restaurant,{'open_now': False},"[{'height': 901, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106799442106732381042/photos"">Lydia Pastor Vidal</a>'], 'photo_reference': 'CmRaAAAAY74kw_fYTHmRtXrzSE3HC8wl9C9dJoPYTOlGaB2JyvEi9f3Rw5RLDn6p1FXktYOF5Dra5kBjGQPg5WAHdotZNqiUiqdKpfE-4WefVXmuwH-VAycDQZWbqI9pc9QoyVjiEhC_D3K0t2lXfvPycbLtUIQPGhQ2WNMO2wRQuEhnB5854XahXe3O_Q', 'width': 1600}]",ChIJZ_CcVsWipBIR833PHGaIK9I,"{'compound_code': 'C56F+6M Barcelona, Spain', 'global_code': '8FH4C56F+6M'}",2.0,4.0,ChIJZ_CcVsWipBIR833PHGaIK9I,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']","Avinguda de Gaudí, 83, Barcelona"
2,"{'location': {'lat': 41.409829, 'lng': 2.172821}, 'viewport': {'northeast': {'lat': 41.41123158029151, 'lng': 2.174097380291502}, 'southwest': {'lat': 41.40853361970851, 'lng': 2.171399419708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,cc9ae43f3b227a06bd92ba119d7e7b0538e8f0e5,Fukuya 8,{'open_now': False},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111704595082384285176/photos"">Nil Ferré</a>'], 'photo_reference': 'CmRaAAAAc1Dr5vB_d5oBY5xSTwN5fJFCeblz6nMtEXn-2NAmEm9XpaG82rA2PQTUyp_GvsrsDOm_Xb0wwRp0O9r_c8UMdxessYeyIIvzMAhTAtGZj7lGiHqVPjrLwuVP7F4BlERyEhDM08tmobtpv_E_ENEn1ad3GhSSC2K8dUpOQAcHlseMJMLY-irwPw', 'width': 3120}]",ChIJITtzcsWipBIRwtPTqAV21Kk,"{'compound_code': 'C55F+W4 Barcelona, Spain', 'global_code': '8FH4C55F+W4'}",,4.2,ChIJITtzcsWipBIRwtPTqAV21Kk,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']","Carrer de Sant Antoni Maria Claret, 186, Barcelona"
3,"{'location': {'lat': 41.410858, 'lng': 2.173924}, 'viewport': {'northeast': {'lat': 41.41219238029149, 'lng': 2.175292230291502}, 'southwest': {'lat': 41.40949441970849, 'lng': 2.172594269708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,007c1aa96637759aee46043882ae0de80120ea64,Estel de Sant Pau,{'open_now': False},"[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111403036019786004982/photos"">Estel de Sant Pau</a>'], 'photo_reference': 'CmRaAAAA4RAId9xkzkSEhrPqS8yFZ09DciJvPrUV1Bj6UQhoOu8bTjxAzTKm4Je_rUSSx14BaSMQDLyxY9XP0Aqv3OyglqWTwErEVqcMP7ZowO74LUjX_o5ZHQBJAPCyzLrmnr7PEhDV4_39SSmFSCp_qnBdIqogGhTEioRwYiSQ9t__p-3WFE_r5JZtVg', 'width': 1024}]",ChIJHX7o-c-ipBIRkhnsJ_faiMc,"{'compound_code': 'C56F+8H Barcelona, Spain', 'global_code': '8FH4C56F+8H'}",,4.3,ChIJHX7o-c-ipBIRkhnsJ_faiMc,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']","Carrer de Sant Antoni Maria Claret, 157, Barcelona"
4,"{'location': {'lat': 41.4098061, 'lng': 2.1726886}, 'viewport': {'northeast': {'lat': 41.4111895302915, 'lng': 2.173990980291502}, 'southwest': {'lat': 41.4084915697085, 'lng': 2.171293019708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,1f9f4ab034d589029de1e869754093dbfc306bd5,NOU FACE,{'open_now': True},"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111680569655797032022/photos"">Nou Face</a>'], 'photo_reference': 'CmRaAAAAM-12hwtoOh5Ggdak6dhbDpVd9wMOoHKrFNm7WBZvdo3Di-wVIlNqlEwQ_9005LsndxDoRNM4Bi8DYr9GdehDA-L6SuYF80NqRroECIV2XaOy58M_Ejh1HzbWMqo35kXkEhDXZ0oRWKxOrBhQOnr3yIiOGhQLyzh9wBTek0_5glgkH-4bpAbqZQ', 'width': 960}]",ChIJp23wbcWipBIRoaPXc77EBq4,"{'compound_code': 'C55F+W3 Barcelona, Spain', 'global_code': '8FH4C55F+W3'}",1.0,4.5,ChIJp23wbcWipBIRoaPXc77EBq4,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']","Carrer de Sant Antoni Maria Claret, 190, Barcelona"
5,"{'location': {'lat': 41.4107152, 'lng': 2.1741977}, 'viewport': {'northeast': {'lat': 41.41206418029149, 'lng': 2.175546680291502}, 'southwest': {'lat': 41.4093662197085, 'lng': 2.172848719708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,07da696dbe35c5bf4c92d4de86b5f4087f37d8b1,El Petit Firo,{'open_now': False},"[{'height': 3204, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100675118632959483080/photos"">Damián García - Mediaty</a>'], 'photo_reference': 'CmRaAAAA48gd-FN3UVi5hZJDcijop7d-jMayRkC7MIhlywQpBM7Yx5oF5xY83BKQUj9mdgAMnfZ9ESR0g2gSqcmCEm7Gk_yUjkMSkJz2jesU9VihTta-4IDvZ6d3i1zeWdbKFKVFEhCqqGQgDZDzclNYsZ6g_1eZGhTMqq9SB4LpGhlcmRFFmpbPoa_MZA', 'width': 4928}]",ChIJxZBWUcWipBIR9K73ylT8zD0,"{'compound_code': 'C56F+7M Barcelona, Spain', 'global_code': '8FH4C56F+7M'}",2.0,3.9,ChIJxZBWUcWipBIR9K73ylT8zD0,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']","Avinguda Gaudí 81 bajo, Barcelona"
6,"{'location': {'lat': 41.4108674, 'lng': 2.174119799999999}, 'viewport': {'northeast': {'lat': 41.41221643029149, 'lng': 2.175546530291502}, 'southwest': {'lat': 41.40951846970849, 'lng': 2.172848569708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,a263b04e7b678d9fe6f6dd649dc4d1b26d8a2911,Green Kiss - Hospital Sant Pau,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109314969487609489003/photos"">Wesley Mahler</a>'], 'photo_reference': 'CmRaAAAAaOkpmyEn9kz3MTv1P9OZ-OrgNn4UzK0lhcngnQBrDWJcWAg7RLQiwZDioacnAldraCbLBPxOA3JnOUzoStZzGnLlnC_XbMq3Aw5l-QQZ60eulOiJYvuosPzzbJrICBFbEhDcMh6jRfkOYx6HnFiBw3DWGhS_hzXpffu3NWnNVlEjXh7rVLehlQ', 'width': 4032}]",ChIJpZur-M-ipBIRc9jq2T1ubCU,"{'compound_code': 'C56F+8J Barcelona, Spain', 'global_code': '8FH4C56F+8J'}",,4.2,ChIJpZur-M-ipBIRc9jq2T1ubCU,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']","Avinguda de Gaudí, 87, Barcelona"
7,"{'location': {'lat': 41.41064840000001, 'lng': 2.1744917}, 'viewport': {'northeast': {'lat': 41.4119964302915, 'lng': 2.175802080291501}, 'southwest': {'lat': 41.4092984697085, 'lng': 2.173104119708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,320d9dc1529ef4fcc29fd5761de7c2aee6211b84,Braseria Cal Ramon,{'open_now': False},"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101466162141654879378/photos"">Sara Pérez</a>'], 'photo_reference': 'CmRaAAAAJiOzkECVvQfR74vpfJs3jvcw1yqJ4qzru-BslGFdiXVHKYZUCxUVLAgqbFU92Y1ARN9BWHJ5Af6rKTIHQts023hfkTCo1WVzelg8TL2O-GWPqzTpUCY4BQp2BjUHvQz1EhBQPy8h8FIvAKsw9jyd59WlGhTeoMYYEuj-0K-JdCJ4ycp9FCJaeQ', 'width': 2048}]",ChIJDRMW_s-ipBIRCHZ5Zsx_xnk,"{'compound_code': 'C56F+7Q Barcelona, Spain', 'global_code': '8FH4C56F+7Q'}",2.0,3.7,ChIJDRMW_s-ipBIRCHZ5Zsx_xnk,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']","Avinguda de Gaudí, 74, Barcelona"
8,"{'location': {'lat': 41.4106118, 'lng': 2.1733825}, 'viewport': {'northeast': {'lat': 41.4119253802915, 'lng': 2.174778180291502}, 'southwest': {'lat': 41.4092274197085, 'lng': 2.172080219708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,0d53e9759f5fa7887814dcb43bd6b4d2bf39ab89,Entre Tapes Sant Pau,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117825001017888706623/photos"">Ramon Cleries I Robinat</a>'], 'photo_reference': 'CmRaAAAAKIPez600MGMXfiheeFUCR43DMPRxVV1U425jyjUxxzmYf2rpVqVz-_-m0DPTUxmxTClPVSSxFWm8Rjqt49DSQuw4vlnH5orwpb96qJ-6QDnfsqT9r8hGykMeR3sGCTE9EhCu0WPJp1efwXXFGiGhp_KZGhTo8mqfrNx0-aCiCoFSNaGn_ATKbg', 'width': 4032}]",ChIJRe9NXsWipBIRSYQYKfhdlXw,"{'compound_code': 'C56F+69 Barcelona, Spain', 'global_code': '8FH4C56F+69'}",,3.0,ChIJRe9NXsWipBIRSYQYKfhdlXw,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']","Carrer de Sant Antoni Maria Claret, 137, Barcelona"
9,"{'location': {'lat': 41.41084190000001, 'lng': 2.1736885}, 'viewport': {'northeast': {'lat': 41.41215468029151, 'lng': 2.175085230291502}, 'southwest': {'lat': 41.40945671970851, 'lng': 2.172387269708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,35edb541359aa4f9db98d02e0d9e949a68094c93,La Cantina del Pintxo - Barcelona,{'open_now': True},"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109277386489616796933/photos"">La Cantina del Pintxo - Barcelona</a>'], 'photo_reference': 'CmRaAAAASvj05Ls9BlOGkgo5wANpNeedvry3V5cdXHdc7J0dhxJaIpvjRNRukhppczW7JKGu0rmcSTprOmvFZRuXzUHx8m3zCcipWj9DyVaydx9xhS9AGF77zntXNpnxUt_vzCLPEhB0gWveU3ME3Mdpkkf0VnKuGhR9weeHrEvl8mgCzvkDds4Lo2BEEg', 'width': 1600}]",ChIJQ-s59s-ipBIRO0Crk5YO52E,"{'compound_code': 'C56F+8F Barcelona, Spain', 'global_code': '8FH4C56F+8F'}",,2.9,ChIJQ-s59s-ipBIRO0Crk5YO52E,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']","Carrer de Sant Antoni Maria Claret, 149, Barcelona"
